x	y	color
40292.125	8405.2880859375	0
40134.4609375	8420.4609375	0
39785.8515625	8168.615234375	0
39766.984375	8507.0849609375	0
39812.04296875	8434.65234375	0
39784.140625	8407.787109375	0
39845.96484375	8232.34375	0
39847.54296875	8579.7685546875	0
39892.28125	8539.2919921875	0
39887.71875	8502.064453125	0
39893.6015625	8408.62109375	0
39869.38671875	8382.169921875	0
40154.5859375	8090.73876953125	0
40219.0859375	8231.822265625	0
40166.671875	8207.3505859375	0
40199.50390625	8172.13427734375	0
40268.11328125	8171.4619140625	0
40273.30859375	8247.380859375	0
40229.1484375	8199.798828125	0
40220.45703125	8274.4365234375	0
40173.70703125	8438.625	0
40210.84375	8404.4111328125	0
40263.1015625	8435.0703125	0
40080.61328125	8828.96875	0
40105.15625	8819.0751953125	0
40145.9140625	8920.6162109375	0
39729.515625	9044.845703125	0
40037.62109375	8986.765625	0
40209.16015625	8922.6005859375	0
40185.1953125	8906.640625	0
40234.203125	8832.994140625	0
40162.30078125	8875.4169921875	0
40226.80078125	8868.611328125	0
40156.2734375	8843.126953125	0
40194.30078125	8844.8896484375	0
40219.80078125	8655.40234375	0
40250.84375	8594.0595703125	0
40210.10546875	8801.572265625	0
40239.38671875	8781.6884765625	0
40198.37890625	8767.083984375	0
40260.3515625	8662.93359375	0
39991.6171875	8716.20703125	0
40058.375	8695.4404296875	0
40031.44921875	8718.6845703125	0
40104.81640625	8704.470703125	0
40164.17578125	8703.3818359375	0
40133.66015625	8673.5390625	0
39994.57421875	8131.87744140625	0
39985.90234375	8191.61181640625	0
39977.3984375	8152.62744140625	0
39948.7578125	8504.1748046875	0
40080.41796875	8613.4833984375	0
40121.7578125	8604.0859375	0
40058.23828125	8577.5078125	0
40084.21875	8252.056640625	0
40054.671875	8305.0791015625	0
40101.62890625	8293.3349609375	0
40073.2890625	8353.642578125	0
40129.85546875	8464.4833984375	0
40044.09375	8436.4599609375	0
40117.00390625	8362.0078125	0
39989.109375	8270.2294921875	0
40026.18359375	8348.0361328125	0
40011.828125	8300.5576171875	0
39991.97265625	8230.322265625	0
40023.9765625	8256.626953125	0
40098.3359375	9373.271484375	0
40236.0625	9390.3203125	0
40270.56640625	9381.615234375	0
39990.96875	10095.30859375	0
40020.5234375	10092.3671875	0
40050.48046875	10096.8701171875	0
40345.6640625	8952.486328125	0
40318.65625	8603.5888671875	0
40322.1484375	8645.72265625	0
40292.1796875	8660.6708984375	0
40307.484375	8793.6103515625	0
40414.73046875	8860.0126953125	0
40432.92578125	9059.796875	0
40402.34375	8978.189453125	0
40412.18359375	8637.580078125	0
40476.69140625	8691.9658203125	0
40394.24609375	8690.701171875	0
40438.54296875	8662.4921875	0
40265.4375	8816.4013671875	0
40260.9921875	9074.56640625	0
40235.3515625	9053.2001953125	0
40269.1328125	8625.7001953125	0
40236.76953125	8629.8271484375	0
40272.859375	8776.76953125	0
40459.65625	9224.2509765625	0
40470.7109375	9328.2138671875	0
40437.62890625	9290.642578125	0
40629.47265625	9109.1240234375	0
